,pts_ppr,rank_ppr,pos_rank_ppr,full_name
,0,635,115,Justin Hardy
,0,4112,424,Clayton Geathers
,0,2414,178,Gabe Wright
,0,4242,439,Ibraheim Campbell
,0,369,31,Rodney Gunter
,0,561,44,Blake Bell
,0,274,32,Ramik Wilson
,0,1768,240,Za'Darius Smith
,0,3796,498,Kwon Alexander
,0,1096,102,Javorius Allen
,0,1342,122,Mike Davis
,0,805,103,Damien Wilson
,0,3784,496,Jake Ryan
,0,1581,189,Adrian Amos
,0,1063,82,MyCole Pruitt
,0,2488,250,Bobby McCain
,0,2056,363,Stefon Diggs
,0,4738,212,Brett Hundley
,0,2334,50,Davis Tull
,0,4377,381,Jay Ajayi
,0,388,6,Cedric Thompson
,0,2400,322,Kyle Emanuel
,0,2895,220,Tyeler Davison
,0,377,30,C.J. Uzomah
,0,4082,713,J.J. Nelson
,0,4823,410,Jesse James
,0,3347,569,Kenny Bell
,0,4890,58,Michael Burton
,0,1468,194,David Mayo
,0,4350,460,Tye Smith
,0,5323,456,Nick Boyle
,0,4752,637,D.J. Alexander
,0,848,66,James O'Shaughnessy
,0,3497,596,Geremy Davis
,0,3144,238,Darius Philon
,0,3629,310,Nick O'Leary
,0,5271,65,Malcolm Johnson
,0,3675,282,Leterrius Walton
,0,2306,260,Quandre Diggs
,0,2876,216,Darius Kilgo
,0,562,45,Darren Waller
,0,4313,323,Christian Ringo
,0,2611,57,Reshard Cliett
,0,1696,226,Anthony Chickillo
,0,117,11,Christian Covington
,0,1995,276,Bryce Hager
,0,1809,139,Martin Ifedi
,0,2127,180,Ben Koyack
,0,503,63,Edmond Robinson
,0,2021,354,Da'Ron Brown
,0,4307,575,Mark Nzeocha
,0,422,34,Geoff Swaim
,0,1898,193,Darryl Roberts
,0,3920,425,Akeem King
,0,1708,68,Trevor Siemian
,0,5075,432,Rory Anderson
,0,373,34,Zach Zenner
,0,1780,35,Tony Washington
,0,1869,190,Justin Coleman
,0,4100,716,Titus Davis
,0,4652,828,Tyrell Williams
,0,2536,431,Dres Anderson
,0,946,90,Malcolm Brown
,0,3825,289,Grady Jarrett
,0,1452,259,Antwan Goodley
,0,1773,142,Tim Semisch
,0,87,16,Darius Jennings
,0,3891,513,Tyrell Adams
,0,3661,282,T.Y. McGill
,0,3374,441,Alex Singleton
,0,4487,192,Jake Heaps
,0,2016,25,Jonathon Mincy
,0,400,48,Deshazor Everett
,0,3508,368,Quinton Dunbar
,0,3764,4,Ty Long
,0,3808,499,Nick Dzubnar
,0,4343,326,Xavier Williams
,0,971,25,Josh Lambo
,0,3552,606,Damiere Byrd
,0,4600,612,Neville Hewitt
,0,357,42,Dean Marlowe
,0,472,43,Arthur Miley
,0,4694,631,Todd Davis
,0,3467,70,Danny Mason
,0,4235,42,Junior Sylvestre
,0,4527,196,Taylor Heinicke
,0,2170,243,Anthony Harris
,0,76,8,Brandon King
,0,3272,246,Ashaad Mabry
,0,4053,302,Eric Crume
